2024-02-26 03:15:56,532 INFO    MainThread:165755 [wandb_setup.py:_flush():76] Current SDK version is 0.16.1
2024-02-26 03:15:56,533 INFO    MainThread:165755 [wandb_setup.py:_flush():76] Configure stats pid to 165755
2024-02-26 03:15:56,533 INFO    MainThread:165755 [wandb_setup.py:_flush():76] Loading settings from /public/home/zhouchy2022/.config/wandb/settings
2024-02-26 03:15:56,533 INFO    MainThread:165755 [wandb_setup.py:_flush():76] Loading settings from /public/home/zhouchy2022/urnng_framed_tg/wandb/settings
2024-02-26 03:15:56,533 INFO    MainThread:165755 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-02-26 03:15:56,533 INFO    MainThread:165755 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'tg_train.py', 'program_abspath': '/public/home/zhouchy2022/urnng_framed_tg/tg_train.py', 'program': '/public/home/zhouchy2022/urnng_framed_tg/tg_train.py'}
2024-02-26 03:15:56,533 INFO    MainThread:165755 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-02-26 03:15:56,533 INFO    MainThread:165755 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-02-26 03:15:56,533 INFO    MainThread:165755 [wandb_setup.py:_flush():76] Applying login settings: {'force': True}
2024-02-26 03:15:56,533 INFO    MainThread:165755 [wandb_init.py:_log_setup():524] Logging user logs to /public/home/zhouchy2022/urnng_framed_tg/wandb/run-20240226_031556-rsjn5wgy/logs/debug.log
2024-02-26 03:15:56,534 INFO    MainThread:165755 [wandb_init.py:_log_setup():525] Logging internal logs to /public/home/zhouchy2022/urnng_framed_tg/wandb/run-20240226_031556-rsjn5wgy/logs/debug-internal.log
2024-02-26 03:15:56,534 INFO    MainThread:165755 [wandb_init.py:init():564] calling init triggers
2024-02-26 03:15:56,534 INFO    MainThread:165755 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {'train_file': 'data/ptb_20231129-train.pkl', 'val_file': 'data/ptb_20231129-val.pkl', 'ckpt_path': '', 'w_dim': 380, 'num_layers': 12, 'dropout': 0.4, 'n_head': 10, 'd_head': 30, 'd_inner': 900, 'dropoutatt': 0.2, 'q_dim': 300, 'count_eos_ppl': 0, 'save_path': '/ckpt/utg_ckpt_240103_1.pt', 'num_epochs': 18, 'warmup_epochs': 8, 'mode': 'unsupervised', 'eval_samples': 3, 'samples': 5, 'lr': 5e-05, 'q_lr': 0.0001, 'lr_decay': 0.8, 'kl_cost_annealing_warmup': 1.2, 'kl_pen_max': 0.8, 'train_q_epochs': 2, 'param_init': 0.1, 'max_grad_norm': 5, 'q_max_grad_norm': 1, 'gpu': 0, 'seed': 3407, 'print_every': 500, 'wandb': True, 'wandb_entity': 'itsuitsuki', 'run_name': 'utg20240225', 'wandb_key': '475897693adc3ae7b647e6010441cc105263892c'}
2024-02-26 03:15:56,534 INFO    MainThread:165755 [wandb_init.py:init():614] starting backend
2024-02-26 03:15:56,534 INFO    MainThread:165755 [wandb_init.py:init():618] setting up manager
2024-02-26 03:15:56,545 INFO    MainThread:165755 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-02-26 03:15:56,557 INFO    MainThread:165755 [wandb_init.py:init():624] backend started and connected
2024-02-26 03:15:56,568 INFO    MainThread:165755 [wandb_init.py:init():716] updated telemetry
2024-02-26 03:15:56,636 INFO    MainThread:165755 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-02-26 03:15:57,496 INFO    MainThread:165755 [wandb_run.py:_on_init():2254] communicating current version
2024-02-26 03:15:58,952 INFO    MainThread:165755 [wandb_run.py:_on_init():2263] got version response upgrade_message: "wandb version 0.16.3 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-02-26 03:15:58,952 INFO    MainThread:165755 [wandb_init.py:init():800] starting run threads in backend
2024-02-26 03:16:12,354 INFO    MainThread:165755 [wandb_run.py:_console_start():2233] atexit reg
2024-02-26 03:16:12,354 INFO    MainThread:165755 [wandb_run.py:_redirect():2088] redirect: wrap_raw
2024-02-26 03:16:12,354 INFO    MainThread:165755 [wandb_run.py:_redirect():2153] Wrapping output streams.
2024-02-26 03:16:12,355 INFO    MainThread:165755 [wandb_run.py:_redirect():2178] Redirects installed.
2024-02-26 03:16:12,356 INFO    MainThread:165755 [wandb_init.py:init():841] run started, returning control to user process
2024-02-26 03:16:12,357 INFO    MainThread:165755 [wandb_run.py:_config_callback():1342] config_cb None None {'train_file': 'data/ptb_20231129-train.pkl', 'val_file': 'data/ptb_20231129-val.pkl', 'ckpt_path': '', 'w_dim': 380, 'num_layers': 12, 'dropout': 0.4, 'n_head': 10, 'd_head': 30, 'd_inner': 900, 'dropoutatt': 0.2, 'q_dim': 300, 'count_eos_ppl': 0, 'save_path': '/ckpt/utg_ckpt_240103_1.pt', 'num_epochs': 18, 'warmup_epochs': 8, 'mode': 'unsupervised', 'eval_samples': 3, 'samples': 5, 'lr': 5e-05, 'q_lr': 0.0001, 'lr_decay': 0.8, 'kl_cost_annealing_warmup': 1.2, 'kl_pen_max': 0.8, 'train_q_epochs': 2, 'param_init': 0.1, 'max_grad_norm': 5, 'q_max_grad_norm': 1, 'gpu': 0, 'seed': 3407, 'print_every': 500, 'wandb': True, 'wandb_entity': 'itsuitsuki', 'run_name': 'utg20240225', 'wandb_key': '475897693adc3ae7b647e6010441cc105263892c'}
2024-02-26 03:16:22,030 INFO    MainThread:165755 [wandb_watch.py:watch():51] Watching
2024-02-26 03:16:48,420 WARNING MsgRouterThr:165755 [router.py:message_loop():77] message_loop has been closed
